,,,,,,,,,,,,,,,,,,,,,
,№,Контрагент,,,,,,,,,договр,,МП,,,,,БУГАЛТЕРИЯ,,,
,261,304276659,"""JASMIN-DIYOR"" XK",КОНЫРАТ РАЙОНЫ КАРАКАЛПАГЫСТАН КОШЕСИ 57 Б  ,913777563,direktor,UTELBAYEVA NARGIZA KALKORAZOVNA,,00440,20208000400659572001,201 от 06.07.2023,ожидания,GULSUM,99/963-91-00,QONGIROT,,,,,230600,
,262,205816177,"""FLAREKS-INVEST"" XK","Farg'ona viloyati, Toshloq tumani, Toshloq shaharchasi Ogahiy ko'chasi, 27-uy",911233733,direktor,AXUNOVA NASIBA IBROXIMOVNA,,01125,20208000804433117001,482 от 24.10.2024,ожидания,,,,,,,,,
,263,305154438,"""GRAND-MEDIKAL CENTER"" MCHJ","Navoiy viloyati, Karmana tumani, Karmana shaharchasi Xo'ja Xisrav MFY, Islom Karimov ko'chasi, 1-uy",905002222,direktor,KARIMOV GOLIBJON ORIFOVICH,,00873,20208000100816430001,483 от 24.10.2024,ожидания,ZUMRAD,,Navoiy,,,,,,
,264,308792742,"""VIZIR-FARM"" XK","Farg'ona viloyati, Quvasoy sh. Shifokorlar ko'chasi, 40/1-uy",985750970,direktor,USMANOV BEKZOD SADIKJANOVICH,,00491,20208000705429148001,"407 от 15,07.2024",принито,Zuxra,,Farg'ona,,,,,,
,265,303324567,"""FARG`ONA FARM SAVDO"" MCHJ","Farg'ona viloyati, Farg'ona sh. Maxmur ko`chasi, 42-uy",905002222,direktor,YO‘LDOSHEVA OYAZIMXON MAXAMADYUSUP QIZI,,01037,20208000300466887001,484 от 25.10.2024,ожидания,gulsanam ,,Farg'ona,,,,,,
,266,310017067,"""FAYZBIO"" MCHJ","Namangan viloyati, Kosonsoy tumani, Kosonsoy shahri Gulbog` MFY, Me`mor ko`chasi, 162-uy",917557022,direktor,KOMILJONOV FARXODJON PO‘LOTJON O‘G‘LI,,00433,20208000405590932001,485 от 25.10.2024,ожидания,,,,,,,91/995-20-20,,
,267,301600534,"""MOHIGUL MOHLAROYIM JILOSI"" MCHJ","Qashqadaryo viloyati, G'uzor tumani, G'uzor shahri Mustaqillik ko'chasi, 3-uy, 1-xona",956801420,direktor,BEKNAZAROV SHUXRAT YULDASHEVICH,,01125,20208000204847288001,486 от 28.10.2024,ожидания,,,,,,,,,
,268,311060370,"""ZIYOMEDSHIFO"" MCHJ","Farg'ona viloyati, Uchko'prik tumani, Uchko'prik shaharchasi Shodlik ko'chasi, 215A-uy, 17-xonadon",97 418 56 57,direktor,SHERMATOV ZIYOJON IKROMOVICH,,00973,20208000505744256001,487 от 28.10.2024,ожидания,,,,,,,,,
,269,303034065,"""PLATINUM ALLIANCE BUSINESS"" XK","Navoiy viloyati, Navoiy sh. Hayot MFY, Xamza ko'chasi, 12-uy",91 254 10 10,direktor,AXADOV ALISHER XAMIDOVICH,,01037,20208000100384949001,488 от 29.10.2024,ожидания,ZUMRAD,,Navoiy,,,,,,
,270,305835261,"""SHOX PHARMA"" MCHJ","Sirdaryo viloyati, Sirdaryo tumani, Sirdaryo shahri O'zbekiston ko'chasi 48-u",91 623 04 01,direktor,XASANOVA NIGORA ABDUSATAROVNA,,01125,20208000800946835001,489 от 30.10.2024,ожидания,,,,,,,97/331-45-25,,
,271,300876104,"""AXROR BERDIMURODOVICH"" XK","Qashqadaryo viloyati, Yakkabog' tumani, Yakkabog' shahri Olmazor ko'chasi",91 220 18 63,direktor,BOYMURODOV AXROR BERDIMURODOVICH,,01037,20208000204727717001,490 от 31.10.2024,ожидания,,,,,,,,,
,272,303061040,"""G'UZOR MED FARM"" MCHJ","Qashqadaryo viloyati, G'uzor tumani, G'uzor shahri O'zbekiston ko'chasi, 19 uy,",94 177 67 17,direktor,AZIZOVA NARGIZA UKTAMOVNA,,01135,20208000600392661001,491 от 01.11.2024,ожидания,,,,,,,,,
,273,"205006948,1","""GARMONIYA FARM"" MCHJ","Toshkent shahri, Olmazor tumani Miskin MFY, Usta shirin, 116-uy",71 232 06 84,direktor,MAXMUDOV BEKZOD MAXMUDOVICH,,00867,20208000904326795001,492 от 01.11.2024,ожидания,,,,,,,,,
,274,309841237,""" MIRHAYAT BIZNES PHARM"" MCHJ","Qashqadaryo viloyati, Yakkabog' tumani, Yakkabog' shahri Cho'mich mahallasi, Cho'mich ko'chasi, 19-uy",995398999,direktor,,,01119,20208000705564946001,493 от 04.11.2024,ожидания,,,,,,,,,
,275,306982490,"""N BEST LINE "" MCHJ ","Qashqadaryo viloyati, Yakkabog' tumani, Yakkabog' shahri Taraqqiyotko'chasi, 92-uy",979547555,direktor,XOLMURODOV NURIDDIN BOBAKULOVIC,,01119,20208000805157065001,494 от 05.11.2024,ожидания,,,,,,,,,
,276,309410685,"""PHARMA PLUS "" MCHJ","Qashqadaryo viloyati, Yakkabog' tumani, Yakkabog' shahri Cho'mich mahallasi, Amir Temur ko'chasi, 190-uy",970702020,direktor,SHODIYEV BAHODIR TOSHPULATOVICH,,01037,20208000905508795001,495 от 06.11.2024,ожидания,,,,,,,,,
,277,203368658,"""RAJABBOY USTA"" XK","Xorazm viloyati, Urganch tumani, Qoroul QFY Ibn Sino ko'chasi, 12/2-uy",975124700,direktor,DJAVLANOV DAVRONBEK MAMUTOVICH,,00569,20208000204076452001,496 от 11.11.2024,ожидания,SAODAT,99/629-60-00,XORAZM,,,,,220100,
,278,202570757,"""SOXIBA"" XK","Qoraqalpog'iston Respublikasi, Amudaryo tumani, Mang'it shahri Qipchoq ko'chasi",615152241,direktor,MADAMINOV OTABEK BAXTIYAROVICH,,00619,20208000803968840001,497 от 13.11.2024,ожидания,dilfuza ,,МАНГИТ,,,НАЗОКАТ,91/384-00-86,,
,279,311561508,"""DR MEKHMONOV FARM"" MCHJ ","Buxoro viloyati, Qorako'l tumani, Qorako'l shahri Eski qal'a mfy, Tabiblar ko'chasi, 32-uy",88 8662777,direktor,MEXMONOV FARRUX MARDON O‘G‘LI,,00450,20208000607130762001,498 от 14.11.2024,ожидания,Sayohat ,,Buxoro,,,,,,
,280, 206 731 877,"""ERGASHEV ULUGBEK ERGASHEVICH"" XK","Қашкадарё вилояти, Яккабоғ шахри,
А. Темур кўчаси",998 91 472 17 36,direktor,Э. Нуралиев,, 00691," 2020 8000 0045 5845 2001",499 от 14.11.2024,ожидания,,,,,,,,,
,281,311200852,"""SEBZOR SFP PHARM"" MCHJ","Toshkent shahri, Olmazor tumani Qichqiriq MFY, Sag‘bon ko`chasi",993993399,direktor,MANSUROV AXMAD AXTAMOVICH,,01095,20208000207029932001,500 от 15.11.2024,ожидания,Davron,94 046 06 41,Toshkent,,,,93/709-73-97,,
,282,307057113,"""KAROMAT PHARM MED"" MCHJ","Samarqand viloyati, Kattaqo'rg'on sh. Zarafshon mahallasi, Qoradaryo ko'chasi, 7-uy",91 3185222,direktor,XASANOV SHAHZOD XASAN O‘G‘LI,,00083,20208000605167372001,501 от 15.11.2024,ожидания,,,,,,,,,
,283,307941249,"""SHAHRIDDIN FARZIDDIN FARM"" XK","Surxondaryo viloyati, Sherobod tumani,
Sherobod shahri Katta hayot mahallasi,
raqamsiz uy",942055000,direktor,"DO‘SBOYEV SHAHRIDDIN SHAYDULLA
O‘G‘LI",,01032,20208000405309294001,502 от 15.11.2024,ожидания,,,,,,,,,
,284,200279160,"""QO`RG`ONTEPA   MURUVVAT   NOGIRONLIGI      BO`LGAN BOLALAR   UCHUN   INTERNAT   UYI"" DM ","Andijon viloyati, Qo'rg'ontepa tumani, Qo'rg'ontepa shahri Ibn Sino MFY, Istiqlol ko`chasi",74 7232804,direktor,MO‘YDINOV RAVSHANBEK XUSNIDDIN O‘G‘LI,,00056 ,20204000900282886001,503 от 18.11.2024,ожидания,,,,,,IKROMJON,93/740-27-27,,
,285,309799201,"  ""EFFEKT-FARM SHIFO"" MCHJ","Andijon viloyati, Andijon sh. O`rikzor MFY, 3-kichik daha, 31-uy, 46-xonadon",909729992,direktor,MADAMINOV MANSURBEK OLIMJON O‘G‘LI,,00083,20208000505559751001,504 от 19.11.2024,ожидания,,,,,,,,,
,286,302259688,"""NORIN AGRO SAVDO"" MCHJ","
Namangan viloyati, Norin tumani, Xaqqulobod shahri Navoiy MFY, A.Beruniy ko'chasi, raqamsiz uy",913547225,direktor,TURSUNBAYEV SAIDISLOMBEK OYBEK O‘G‘LI,,01125,20208000804969845001,"505 от 20,11.2024",ожидания,,,,,,,,,
,287,302150524,"""ABU ASL FAYZ"" MCHJ","Кашкадарё вилояти, Касби тумани, 
Tinehlik М FY, 1-Mirmuhsin ko'chasi , 5-uy,",941710001,direktor,"G'AYBULLAYEV R1ZAMAT ABDURAHMON
o’g’li",, 00433,20208000104946052001,"506 от 20,11.2024",ожидания,,,,,,,,,
,288,200180832,"""ESHONGUZAR"" XK","Farg'ona viloyati, Qo'shtepa tumani, Sarmozor QFY Eshonguzar ko'chasi 4",333-29-55,direktor,MADAMINOV AXMAD MAXMUDOVICH,,00516,20208000100211009002,"507 от 20,11.2024",ожидания,,,,,,,,,
,289,310608479,"""SHAXRAMBEK GOLD"" MCHJ","Buxoro viloyati, Jondor tumani, Dalmun shaharchasi Luqmon mfy, Sherbayon ko'chasi, 35-uy",90 0804442,direktor,RAXMONOVA DILNOZA BOTIR QIZI,,00433,20208000405667074001,508 от 22.11.2024,ожидания,Sayohat ,,Buxoro,,,,,,
,290,305181136,"""AZIMJON-INVEST-FARM"" MCHJ","КУМОВУЛ, BEKTEMIR SHOX KO`CHASI 114 UY  ",,direktor,YUSUPOV BAXRIDDIN AZIMJON O‘G‘LI,,00981,20208000100823330001,509 от 22.11.2024,ожидания,,,,,,,,,
,291,306560454,"""OPTIMUS MED"" mas`uliyati cheklangan jamiyati","Toshkent shahri, Olmazor tumani 2-CHIMBOY VA TOR TALANT KO`CHALARI KESISHMASI, 2M-UY",977304496,direktor,MAXMUDOVA NODIRA BOTIROVNA,,00901,20208000405100428001,510 от 25.11.2024,ожидания,,,,,,,,,
,292,307610407,"""ASKARBINKA VITAMINKA"" MCHJ",Shodlik MFY Xondamir ko'chasi 9b-uy  ,,direktor,XANDAVLATOV DILSHOD ISMAILOVICH,,00450,20208000005260572001,511 от 25.11.2024,ожидания,XULKAR,94/580-06-86,SIRDARYO VILOYATI,GULISTON,,,,120100,
,293,300519942,"""AJINIYAZ NO`KIS"" XK","Qoraqalpog'iston Respublikasi, Nukus sh. Ernazar Alako'z ko'chasi, r\u",,direktor,KALJANOV ABAY JALGASOVICH,,00440,20208000904655599001,512 от 25.11.2024,ожидания,ULZODA ,,NUKUS,,,,,,
,294,301535947,"""MODERN MEDICAL TABLET"" MCHJ","Sirdaryo viloyati, Guliston sh. Yangi hayot MFY, Uvaysiy ko'chasi, 28-uy",,direktor,RAXMATOV SHAVKAT DEXKANOVICH,,00440,20208000404852981001,513 от 25.11.2024,ожидания,XULKAR,,GULISTON,,,,90/107-30-31,,
,295,203674174,"""FERUZA"" MCHJ","Sirdaryo viloyati, Guliston sh. Quruvchilar ko'chasi, 10-uy, 17-xonadon",,direktor,RAXMATOV SHAVKAT DEXKANOVICH ,,00440,20208000604133298001,514 от 25.11.2024,ожидания,XULKAR,,GULISTON,,,,90/107-30-32,,
,296,300714914,"""INTERFARM LYUKS"" XK","Andijon viloyati, Ulug'nor tumani, Mingbuloq QFY Чулобод махалласи",2019291,direktor,KABULOV ADIXAMJON KASIMOVICH,, 00083 ,20208000304683900001,515 от 26.11.2024,,,,,,,,,,
,297,303910265,"""GAVHAR MUBINA FARM"" MCHJ","Sirdaryo viloyati, Guliston sh., Bahor QFY Vatanparvar ko'chasi, 71-uy",911000306,direktor,AHMADALIYEV DOSTON HUSAN O‘G‘LI,, 00450,20208000300611508001,516 от 25.11.2024,ожидания,XULKAR,,GULISTON,,,,,,
,298,300850106,"""PLATINUM FARM"" XK","Samarqand viloyati, Kattaqo'rg'on sh. Qoradaryo ko'chasi 1",2770655,direktor,TUXTAYEV FARRUX ABDUAXATOVICH,,00083,20208000804709797001,285 от 08.01.2024,принито,,,,,,,,,
,299,203071783,« EXOMED » XK,"Qashqadaryo viloyati, G'uzor tumani, G'uzor shahri O'zbekiston ko'chasi, 12-uy, 7-xona"," +9987 552-14-76",direktor,,,00692,20208000204038760001,515 от 25.11.2024,ожидания,,,,,,,,,
,300,308228760,"""TEMURSHOH-FARM"" MCHJ","Samarqand viloyati, Samarqand sh. Zarafshon mahallasi, Oydin yo‘l ko‘chasi, 7-uy",,direktor,,,00283,2020 8000 9053 6667 6001,518 от 03.12.2024,ожидания,,,,,,,,,
,301,202524274,"""XURMO"" XK","Farg'ona viloyati, Toshloq tumani, Toshloq shaharchasi Ogohiy ko'chasi,  10-uy",732386230,direktor,KOSHIPJONOVA UKTAMXON SALIMOVNA,,00083,20208000603946997001,519 от 04.12.2024,ожидания,SHAXZODA,90/166-67-78,FARGONA,,,,,150100,
,302,310458420,"""SAIDKAMOL INVEST FARIM"" MCHJ",YAKKABOG` TUMANCHUMICH MFY .,310458420,direktor,,,01037,20208000405647021001,520 от 06.12.2024,ожидания,,,,,,,,,
,303,311235294,"""NURBEK LAYT"" XK",": Ёкутлибог МФЙ, Афросиёб   кучаси, 72-уй",,direktor,,, 00440,20208000907069145001,521 от 06.12.2024,ожидания,,,,,,,,,
,304,204925690,"""ISMOIL OTA-SU"" XK","Samarqand viloyati, Kattaqo'rg'on shahar, Buxoriy ko'chasi 44-uy",3155778,direktor,RADJABOVA MATLYUBA SHARIPOVNA ,, 00083,20208000904319093001,522 от 09.12.2024,ожидания,Zumrad ,Navoiy,,,,,,,
,305,201542593,""" ТОНГ "" XK",Китоб тумани А.Кушчи МФЙ Катта йул куча 201 уй .,,direktor,,,00176,20208000800370604001,523 от 16.12.2024,ожидания,,,,,,,,,
,306,205249320,"""MULLA-RASUL"" XK","
Surxondaryo viloyati, Muzrabot tumani, Muzrabot QFY Do'stlik mahallasi, raqamsiz uy",763906004,direktor,RASULOVA MUQADDAS OROMIDDINOVNA ,,00083,20208000904357007001,524 от 16.12.2024,ожидания,,,,,,,,,
,307,203710604,"""ASADBEK"" XK","Andijon viloyati, Izboskan tumani, Izboskan QFY Бешмирза махалласи 6 ",2622044,direktor,MAXMUDOV YAXYOBEK QIRG‘IZBOYEVICH,,00450,20208000504147661001,525 от 17.12.2024,ожидания,,,,,,,,,
,308,302729355,"""YAKKABOG' FARM"" XK",Яккабагский район Чумич Кучаси 4,,direktor,YOROV SARVAR TOSHKENTOVICH,,00433,20208000000261498001,"526 от 18,12,2024",ожидания,,,,,,,,,
,309,305447239,"""KIFTI-OB DORI DARMON"" MCHJ","Кашкадарьинская область, Китабский район, ГРП Китаб, 1710232501, Katta yo'l",909473566,direktor,,,00873,20208000805041363001,"527 от 23,12,2024",ожидания,,,,,,,,,
,310,201640449,"""GALEN"" XK","Кашкадарьинская область, Яккабагский  район, ГРП Яккабаг, 1710250501, А.Темур  кучаси.",,direktor,,,00433,20208000900332074001,528 от 23.12.2024,принито,,,,,,,,,
,311,207109754,"""""IHLOS SHIFO SAVDO SERVIS"" XK","Андижанская область, Балыкчинский район, ГП Баликчи, 1703206551, Марказ махалласи",998692503056,direktor,ABDURAXIMOV ULUG‘BEK SODIQJON O‘G‘LI,,01125,20208000904908272001,529 от 25.12.2024,ожидания,,,,,,,,,
,312,311477674,"""ASL DORI"" MCHJ ","QASHQADARYO VILOYATI, G`UZOR  TUMANI, XOʻJAGUZAR MFY, OʻZBEKISTON   KO'CHASI, 171-UY",,direktor,,,00491,20208000007109197001,530 от 25.12.2024,принито,,,,,,,,,
,313,301839060,""" Davo Farm Servis "" MCHJ ",";Qashqadaryo viloyati, Yakkabog’  Tumani, Jaychi mahallasi, Nixol ko’chasi",,direktor,,,01037,20208000904893520001,531 от 26.12.2024,принито,Husan,,qarshi,,,,,,
,314,201985160,"""G`OFUR"" MCHJ","Самарканд вилояти, САМАРҚАНД ШАҲРИ, DAXBET 61  ",,direktor,,,01176,20208000400510711001, 532 от 03.01.2025,принито,Komil,,samarqand,,,,,,
,315,203032704,"""AZIZA-SH"" XK","Samarqand viloyati, Kattaqo'rg'on tumani, Omonboy QFY Omonboy qishlog'i",94 475-77-57,direktor,TURSUNOVA GULNOZA ZARIPOVNA,,01037,20208000104016803001,533 от 06.01.2025,ожидания,Zumrad ,,Navoiy,,,MA'RUF, 94 475 77 57,,
,316,205126427,"""FITO-FARM-LEK"" MCHJ ","Navoiy viloyati, Navoiy sh. Islom Karimov ko'chasi, 52A-uy",79 2236065,direktor,YARMUXAMEDOV SANJAR XOSHIMOVICH,,00199,20208000904339090001,534 от 06.01.2025,ожидания,Zumrad ,,Navoiy,,,,,,
,317,307615534,"""MEGAFARM MEDIKAL TRADE"" MCHJ","Farg'ona viloyati, Buvayda tumani, Yangiqo'rg'on QFY Kelajak ko'chasi",944949939,direktor,QURBONOV DILSHODJON XOMIDOVICH ,,00973 ,20208000305261201001,535 от 07.01.2025,ожидания,SHAXZODA,90/166-67-78,FARGONA,,,,91/678-59-91,150100,
,318,303303592,"""GRAND PHARM TRADE"" MCHJ","Toshkent shahri, Olmazor tumani Uzumbog' 10-tor ko'chasi, 28A-uy",977699920,direktor,RAXIMOV ALISHER ABDUXAKIM O‘G‘LI,,01036,20208000000458557001,536 от 08.01.2025,принито,Сардор,принито,Тошкент,,,,,,
,319,305590047,"""CITY  PHARM"" MCHJ","Toshkent shahri, Yunusobod tumani 5-MAVZE, 23-UY, 25-XONA",900210830,direktor,XOTAMOV ULUGBEK UKTAM O‘G‘LI,,01122,20208000400888398001,537 от 08.01.2025,ожидания,XIKMATILLA,95/870-71-77,TOSHKENT,,,,,,
,320,302471924,"""DILMUXAMMAD FARM SERVIS"" MCHJ","Samarqand viloyati ,Samarqand sh,  A.Jomey  kochasi ,53-uy",,direktor,,,01071,20208000405015098001,538 от 08.01.2025,принито,,,,,,,,,
,321,302699362,"""PHARMA CHOICE"" MCHJ","Toshkent shahri, Chilonzor tumani CHORBOG` KO`CHASI, 51-UY",935705200,direktor,KURBANGALIYEV ISKANDAR KOMOLOVICH,,01042,20208000200254796001,539 от 09.01.2025,принито,Хикматилла,95/870-71-77,Тошкент,,,,,,
,322,308625133,"""NAVOIY KIDS MED FARM"" MCHJ","Navoiy viloyati, Navoiy sh. Binokor MFY, A.Avloniy ko`chasi, 1-uy, 19-xonadon",907300071,direktor,XIKMATOV DILSHOD MURTAZAYEVICH ,,00401,20208000605409464001,540 от 10.01.2025,ожидания,zumrad,,navoiy,,,,,,
,323,204352851,"""SARVINOZ"" XK ","Qashqadaryo viloyati, Yakkabog' tumani, Eski Yakkabog' shaharchasi Oxunboboev ko'chasi",91 9550999,direktor,20208000904305038001,,01125,20208000904305038001,541 от 13.01.2025,ожидания,,,,,,,,,
,324,311232694,"""AS-MO"" MCHJ","Andijon viloyati, Baliqchi tumani, Baliqchi shaharchasi Markaz MFY, Boburshox ko`chasi, 10-uy",993230307,direktor,NEMATILLAYEV ALISHERBEK ABDUJALIL O‘G‘LI,,00059,20208000307099281001,542 от 13.01.2025,принито,,,,,,,,,
,325,310075186,"""BEK-SAN JSHF""   MCHJ ","Qashqadaryo viloyati, Yakkabog'  tumani, Yakkabog' shahri Cho'mich mahallasi,  Cho'mich ko'chasi, 37-uy ",998910 643-45-23 ,direktor,_JUMANOV TULQIN NAPASOVICH,"""Ипак Йули банка”",01119,20208000305595140001,543 от  13.01.2025,принито,Husan,99/331/80/24,qarshi,,,,,,
,326,302792485,"""SHAXLO-ALMAZA FARM"" XK","Samarqand viloyati, Samarqand sh. Rudakiy ko`chasi, 126/36",,direktor,,,00433,20208000200287263001,544 от  14.01.2025,принито,Komil,,samarqand,,,,,,
,327,300876104,"""AXROR BERDIMURODOVICH"" XK","Qashqadaryo viloyati, Yakkabog' tumani, Yakkabog' shahri Olmazor ko'chasi",99891 220-18-36,direktor,,АКБ «Кишлок курилиш банка»,01037,20208000204727717001,545 от от  14.01.2025,принито,Husan,99/331/80/24,qarshi,,,,,,
,328,АНУЛИРОВАННЫЙ,,,,,,,,,,не отправрено,,,,,,,,,
,329,306875884,"""KAMOLA ZIYO FARM 2020"" MCH","Buxoro viloyati, Buxoro sh. I.Karimov ko'chasi, 49-uy ",93 6233447 ,direktor,SALIMOV ZIKRILLO ZAKIROVICH,, 00401 ,20208000605147274001,547 от 15.01.2025,ожидания,,,,,,,,,
,330,207224034,"""CHUST FARM"" MCHJ","Namangan viloyati, Chust tumani, Chust shahri Sabzazor MFY, Yangiyer ko'chasi, 50-uy",97 2513676,direktor,XAMRAYEV SHUKURJON SODIKOVICH,,00491,20208000800449683001,548 от 16.01.2025,принито,Elmurod,,,,,,,,
,331,311534603,"""IMBEX FARM"" MCHJ","Farg'ona viloyati, Farg'ona sh. Marifat MFY, Yuksalish ko'chasi, 104A-uy",902900164,direktor,XAYDAROV IKROMJON G‘AYRATOVICH,,00083,20208000407123929001,549 от 16.01.2025,ожидания,SHAXZODA ,90/166-67-78,FARGONA,,,,,150100,
,332,306398229,"""FIRDAVS DORI-DARMONSAVDO"" XK","Sirdaryo viloyati, Gulistontumani,Guliston tumanining qishloqfuqarolaryig'inlari Mevazor MFY, Loyixadagiko'chasi",972776444,direktor,"
AKBUTAYEV JAXONGIR KAMALEDDINOVICH ",,00440,20208000205071776001,550 от 16.01.2025,ожидания,XULKAR,,GULISTON,,,,,,
,333,303348917,"""MUMTOZA FARM SHIFO"" MCHJ","Андижанская область, г. Андижан, 1703401, 1-kichik daxa, 6-uy, 34-xonadon",916120555,direktor,TURG‘UNOV BAXROMJON INOMJONOVICH,,00440,20208000000473371001,551 от 17.01.2025,ожидания,,,,,,,,,
,334,302753952,""" NILUFAR PHARM TRADE "" XK","Qashqadaryo viloyati, Yakkabog' tumani, Turon shaharchasi Turon mahallasi",99897 380-58-40,direktor,,,01037,20208000700269932001,552 от 17.01.2025,принито,Husan,,Qarshi,,,,,,
,335,310189867,"""ADM-GROUP 001"" MCHJ","Andijon viloyati, Ulug'nor tumani, Mingbuloq QFY Cho‘lobod MFY, Chinniigul ko'chasi, 15-uy",910610808,direktor,ABDUVALIYEV DOSTONBEK MAXAMMATJON O‘G‘LI,,00083,20208000905616329001,553 от 20.01.2025,ожидания,,,,,,,,,
,336,205666333,"""UMAROV ASRORJON"" XK","Farg'ona viloyati, Qo'shtepa tumani, Sarmozor QFY М.Умаров кучаси 25",2371540,direktor,UMAROV ABRORJON UMARJONOVICH,,00401 ,20208000704409872001,554 от 23.01.2025,,,,,,,,,,
,337,310445294,"FARM-MAX 777"" MCHJ","Farg'ona viloyati, Uchko'prik tumani, Uchko'prik tumanining qishloq fuqarolar yig'inlari Sog'lom avlod ko'chasi, 7-uy",905672270,direktor,ABDUVALIYEV AXRORJON XOLDARALIYEVICH,,00973,20208000705660220001,555 от 24.01.2025,,,,,,,,,,
,338,311530632,"""ASADBEK BAXROM FARM"" MCHJ","Surxondaryo viloyati, Termiz sh. Farxod mahallasi, Baxt ko'chasi, 2-uy, 1.2.3-korpus",905682313,direktor,ZOKIROV OZODBEK OTABEK O‘G‘LI,,00491,20208000907123653001,556 от 24.01.2025,,,,,,,,,,
,339,,,,,direktor,,,,bosh,557 от 24.01.2025,не отправрено,,,,,,,,,
,340,203672676,"""ASILBEK-AXN"" XK","Қашкадарё вилояти, ЯККАБОҒ ТУМАНИ, OLMAZOR KO'CHASI 3-UY  ",99891 211-84-48,direktor,,,00169,20208000004134110001,558 от 24.01.2025,принито,Husan,,qarshi,,,,,,
,341,300544074,«NIKA FARM SERVIS»,"г. Ташкент, Сергелийский район, 
ул. Безакчилик, д.18а",,direktor,,, 00873,2020 8000 3046 4010 5001,559 от 24.01.2025,ожидания,,,,,,,,,
,342,311818897,"""GYNOMEDIX"" MCHJ","             Ташкент, Чиланзарский район, 4-й проезд Домбирабад, 23/2.",,direktor,П.М.Рахмонов,,01095,20208000107185255001,560 от 24.01.2025,,,,,,,,,,
,343,310555428,"""TOSH-PO'LAT PHARM"" MCHJ","Toshkent shahri, Uchtepa tumani KO'XNA CHO'PONOTA MFY, 13-MAVZE, 9-UY, 3-XONA",97 7182524,direktor,TUROBOV YUSUF TOSHQUVATOVICH,,01086,20208000905660488001,561 от 24.01.2025,ожидания,,,,,,,,,
,344,302753952,""" NILUFAR PHARM TRADE "" XK","Qashqadaryo viloyati, Yakkabog' tumani,  Turon shaharchasi Turon mahallasi",99897 380-58-40,direktor,,,01037,20208000700269932001,562 от 27.01.2025,принито,Husan,,qarshi,,,,,,
,345,,,,,direktor,,,,sarvar,563 от 24.01.2025,,,,,,,,,,
,346,207198004,"""BEGZOD UNVERSAL FARM"" XK","Farg'ona viloyati, Yozyovon tumani, Yozyovon shaharchasi А Hавоий кучаси 88",91-398-50-98,direktor," YOQUBOV G‘ULOMJON 
IBROXIMOVICH",,01125,20208000900267646001,564 от 28.01.2025,,,,,,,,,,
,347,306698131,""" XURRAMOV SHEROVAT BOBO "" XK","Qashqadaryo viloyati, Yakkabog’ tumani Yakkabog' shahri Chumich ko'chasi",99891 211-84-48,direktor,,,01125,20208000405121886001,565 от 28.01.2025,принито,,,,,,,,,
,348,300139782,"MUROD FAYZ OQQO'RG'ON"" XK","Farg'ona viloyati, Buvayda tumani, Oqqo'rg'on QFY Оккургон шахарчаси",9590679,direktor,UMAROVA AROFATOY MAMADALIYEVNA,,00973 ,20208000604592349001,566 от 29.01.2025,принито,,,,,,,,,
,349,200931839,"""BAYRAM"" XK","Qoraqalpog'iston Respublikasi, Qo'ng'irot tumani, Qo'ng'irot shahri Qoraqalpog'iston ko'chasi, 57g-uy",907233152,direktor,YERLANOVA KIZLARGUL REIMBAYEVNA,,00083,20208000900410270001,567 от 29.01.2025,принито,Гулсум,99/963-91-00,қўнгирот,,,,,230600,
,350,309263308,"""NATA VIGOR PHARM"" MCHJ","
Toshkent shahri, Yunusobod tumani 11-MAVZE",900120099,direktor,PULOTOV FUZULIY FAXRIDIN UG‘LI,,00401,20208000105488440001,568 от 31.01.2025,,,,,,,,,,
,351,306996204,"""EXIMPHARM"" MCHJ","Buxoro viloyati, Kogon sh. Shifokorlar ko'chasi, 2-uy",93 9602060,direktor,SANAYEV SHERZOD MUZAFFAROVICH,,01082,20208000005158865001,311 от 19.02.2024,принито,,,,,,,,,
,352,201640360,"""TURON"" XK","
Qashqadaryo viloyati, Yakkabog' tumani, Yakkabog' shahri Cho'mich ko'chasi, 6-uy",955051506,direktor,"
ASHIROVA ADIBA NORTOSHEVNA ",,01037,20208000500387671001,569 от 03.02.2025,,,,,,,,,,
,353,308077333,"""SAMFARM"" MCHJ","Toshkent shahri, Yashnobod tumani Mumtoz MFY, Mumtoz ko'chasi, 5-uy",977008948,direktor,IZBASAROV G‘ULOM IBRAGIMOVICH,,01041,20208000305327930001,570 от 05.02.2025,принито,Хикматилла,95/870-71-77,Тошкент,,,,,,
,354,303047469,"""MAVLUDA ZIYO FARM"" XK","Farg'ona viloyati, Qo'shtepa tumani, G'ishtmon QFY Soxibkor ko'chasi",911100168,direktor,ASKAROV DOSTONBEK RAVSHANBEK O‘G‘LI,,01095,20208000900390970001,571 от 07.02.2025,,,,,,,,,,
,355,305420881,"""FAMILY PHARMACY"" XK ","Buxoro viloyati, Buxoro sh. Jo'bor ko'chasi, 51-uy",91 4128080,direktor,SHARIPOV FERUZ IBRAGIMOVICH,,01082,20208000600859526001,572 от 12.02.2025,ожидания,Холида,,Бухоро,,,,,,
